company,zoominfo_topic,zoominfo_score,initial_segment_guess,initial_fit_score,beta_priority,status,next_action,reason_notes,source
Mg Kailis Group,Cost Control,90,Seafood / food production,1,Hold,Likely geographic disqualifier,Verify US presence before research,Likely outside US; hard disqualifier unless US entity exists,ZoomInfo email
FGX International,Cost Control,96,Consumer products / eyewear,5,P1,Ready for research,Build report-first opportunity brief,High score; eyewear/product company with supplier/distribution/category-spend fit,ZoomInfo email
Washingtonville Central School District,Cost Control,84,Public education,2,Hold,Public-sector review,Hold for education/public-sector batch,Budget pressure possible but procurement path likely constrained,ZoomInfo email
St. John Fisher College,Cost Control,100,Private higher education,3,P2,Research later,Hold for education batch,Perfect score but higher-ed route may be slower than private operating companies,ZoomInfo email
Catholic Family Center,Cost Control,82,Human services nonprofit,3,P2,Research later,Hold for nonprofit batch,Possible fit; sensitive nonprofit positioning and buyer path needed,ZoomInfo email
Enfield Public Schools,Cost Control,83,Public education,2,Hold,Public-sector review,Hold for education/public-sector batch,Procurement likely constrained,ZoomInfo email
Niagara University,Cost Control,77,Private higher education,3,P3,Research later,Hold for education batch,Possible institutional fit but not first batch,ZoomInfo email
Daytop Village,Cost Control,100,Healthcare / human services nonprofit,3,P2,Research later,Hold for nonprofit/healthcare batch,Perfect score but likely sensitive nonprofit/human-services context,ZoomInfo email
Southern Connecticut State University,Cost Control,100,Public higher education,2,Hold,Public-sector review,Hold for public-sector/education batch,Perfect score but public institution procurement likely constrained,ZoomInfo email
Advance Optical,Cost Control,64,Optical / unknown,2,P3,Needs identity confirmation,Ask for domain or ZoomInfo link,Lower score and ambiguous identity,ZoomInfo email
